sku_id,product_id,shade_name,list_price,sale_price,size,oz_value,g_value,ml_value,fl_oz_value,badge,in_stock,image_url,price_per_oz,price_per_g
2926004,P518438,She Left Me On Red,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2926004-main-zoom.jpg,,
2962264,P454762,107 Dragonfruit,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2962264-main-zoom.jpg,,
2864700,P454762,001 Pink,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864700-main-zoom.jpg,,
2864692,P454762,006 Berry,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864692-main-zoom.jpg,,
2864734,P454762,012 Rosewood,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864734-main-zoom.jpg,,
2864783,P454762,015 Cherry,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864783-main-zoom.jpg,,
2864759,P454762,063 Pink lilac,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864759-main-zoom.jpg,,
2864817,P454762,077 Candy,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864817-main-zoom.jpg,,
2864676,P454762,103 Toffee,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2864676-main-zoom.jpg,,
2962561,P454762,106 Pomelo,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2962561-main-zoom.jpg,,
2962363,P454762,109 Goji,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2962363-main-zoom.jpg,,
2962595,P454762,108 Guava,42.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2962595-main-zoom.jpg,,
2656296,P482709,Attention Seeker,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2656296-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2548006,P482709,Phat Ass,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2548006-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2547982,P482709,Very That,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2547982-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2548014,P482709,Rich Betch,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2548014-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2547990,P482709,Freaky Peach,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2547990-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2738680,P482709,Gworly Pop,38.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2738680-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2968238,P522502,Orgasm Fantasy,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968238-main-zoom.jpg,,
2968170,P522502,Lose Control,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968170-main-zoom.jpg,,
2968253,P522502,Double Dare,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968253-main-zoom.jpg,,
2968220,P522502,All Access,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968220-main-zoom.jpg,,
2968162,P522502,Orgasm,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968162-main-zoom.jpg,,
2968196,P522502,Fast Ride,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968196-main-zoom.jpg,,
2968212,P522502,Girl Happy,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968212-main-zoom.jpg,,
2968246,P522502,Itsy Bitsy,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968246-main-zoom.jpg,,
2968188,P522502,Qué Calor,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968188-main-zoom.jpg,,
2987105,P522502,Exhibit A,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2987105-main-zoom.jpg,,
2968204,P522502,Brash,36.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2968204-main-zoom.jpg,,
2965259,P522379,Nuance,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965259-main-zoom.jpg?pb=clean-at-sephora,,
2965242,P522379,Surreal,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965242-main-zoom.jpg?pb=clean-at-sephora,,
2965283,P522379,Intuition,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965283-main-zoom.jpg?pb=clean-at-sephora,,
2965226,P522379,Vibration,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965226-main-zoom.jpg?pb=clean-at-sephora,,
2965234,P522379,Vital,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965234-main-zoom.jpg?pb=clean-at-sephora,,
2965275,P522379,Muse,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965275-main-zoom.jpg?pb=clean-at-sephora,,
2965267,P522379,Ripe,34.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2965267-main-zoom.jpg?pb=clean-at-sephora,,
2942829,P2855,Catch Me,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2942829-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756419,P2855,Orgasm X – 776,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756419-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756310,P2855,Orgasm Rush – 775,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756310-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756385,P2855,Deep Throat – 237,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756385-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756070,P2855,Orgasm Edge – 778,18.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756070-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756062,P2855,Orgasm – 777,18.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756062-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756146,P2855,Sex Appeal – 920,25.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756146-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756336,P2855,Dolce Vita – 888,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756336-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756401,P2855,Amour – 901,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756401-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756328,P2855,Behave – 900,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756328-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756294,P2855,Thrill – 950,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756294-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756393,P2855,Dominant – 951,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756393-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756369,P2855,Exhibit A – 953,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756369-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756344,P2855,Sex Appeal – 920,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756344-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756351,P2855,Orgasm – 777,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756351-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
2756286,P2855,Orgasm Edge – 778,36.0,,,,,,,allure 2024 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2756286-main-zoom.jpg?pb=allure-2024-bestofbeauty,,
