shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,currency,size
https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141?sku=2595630,Benefit Cosmetics,WANDERful World Silky-Soft Powder Blush Mini,Shellie,https://media.ultainc.com/i/ulta/2595630_sw?img404=2595630&w=80&fmt=auto,Shellie WANDERful World Silky-Soft Powder Blush Mini,warm-seashell pink,18.0,USD,0.08 oz
https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141?sku=2624549,Benefit Cosmetics,WANDERful World Silky-Soft Powder Blush Mini,Willa,https://media.ultainc.com/i/ulta/2624549_sw?img404=2624549&w=80&fmt=auto,Willa WANDERful World Silky-Soft Powder Blush Mini,soft neutral-rose,18.0,USD,0.08 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618988,Tarte,Amazonian Clay 12-Hour Blush,Honeysuckle,https://media.ultainc.com/i/ulta/2618988_sw?img404=2618988&w=80&fmt=auto,Honeysuckle Amazonian Clay 12-Hour Blush,black cherry,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618989,Tarte,Amazonian Clay 12-Hour Blush,Natural Beauty,https://media.ultainc.com/i/ulta/2618989_sw?img404=2618989&w=80&fmt=auto,Natural Beauty Amazonian Clay 12-Hour Blush,pink berry,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618990,Tarte,Amazonian Clay 12-Hour Blush,Seduce,https://media.ultainc.com/i/ulta/2618990_sw?img404=2618990&w=80&fmt=auto,Seduce Amazonian Clay 12-Hour Blush,buff,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618991,Tarte,Amazonian Clay 12-Hour Blush,White Peach,https://media.ultainc.com/i/ulta/2618991_sw?img404=2618991&w=80&fmt=auto,White Peach Amazonian Clay 12-Hour Blush,soft peach,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618992,Tarte,Amazonian Clay 12-Hour Blush,Exposed,https://media.ultainc.com/i/ulta/2618992_sw?img404=2618992&w=80&fmt=auto,Exposed Amazonian Clay 12-Hour Blush,buffed mauve,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618993,Tarte,Amazonian Clay 12-Hour Blush,Captivating,https://media.ultainc.com/i/ulta/2618993_sw?img404=2618993&w=80&fmt=auto,Captivating Amazonian Clay 12-Hour Blush,peach,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618994,Tarte,Amazonian Clay 12-Hour Blush,Blushing Bride,https://media.ultainc.com/i/ulta/2618994_sw?img404=2618994&w=80&fmt=auto,Blushing Bride Amazonian Clay 12-Hour Blush,rose,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618995,Tarte,Amazonian Clay 12-Hour Blush,Big Ego,https://media.ultainc.com/i/ulta/2618995_sw?img404=2618995&w=80&fmt=auto,Big Ego Amazonian Clay 12-Hour Blush,bright pink,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2618996,Tarte,Amazonian Clay 12-Hour Blush,Paaarty,https://media.ultainc.com/i/ulta/2618996_sw?img404=2618996&w=80&fmt=auto,Paaarty Amazonian Clay 12-Hour Blush,rosy buff,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2619660,Tarte,Amazonian Clay 12-Hour Blush,Flush,https://media.ultainc.com/i/ulta/2619660_sw?img404=2619660&w=80&fmt=auto,Flush Amazonian Clay 12-Hour Blush not available,rose berry,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2621003,Tarte,Amazonian Clay 12-Hour Blush,Enchanted,https://media.ultainc.com/i/ulta/2621003_sw?img404=2621003&w=80&fmt=auto,Enchanted Amazonian Clay 12-Hour Blush,cinnamon,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2621004,Tarte,Amazonian Clay 12-Hour Blush,Drama,https://media.ultainc.com/i/ulta/2621004_sw?img404=2621004&w=80&fmt=auto,Drama Amazonian Clay 12-Hour Blush,red orange,30.0,USD,0.12 oz
https://www.ulta.com/p/amazonian-clay-12-hour-blush-pimprod2043868?sku=2621005,Tarte,Amazonian Clay 12-Hour Blush,Fearless,https://media.ultainc.com/i/ulta/2621005_sw?img404=2621005&w=80&fmt=auto,Fearless Amazonian Clay 12-Hour Blush,raspberry,30.0,USD,0.12 oz
https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864?sku=2594966,bareMinerals,GEN NUDE BLONZER Blush + Bronzer,Kiss of Copper,https://media.ultainc.com/i/ulta/2594966_sw?img404=2594966&w=80&fmt=auto,Kiss of Copper GEN NUDE BLONZER Blush + Bronzer,flushed copper,29.0,USD,0.13 oz
https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864?sku=2611026,bareMinerals,GEN NUDE BLONZER Blush + Bronzer,Kiss of Mauve,https://media.ultainc.com/i/ulta/2611026_sw?img404=2611026&w=80&fmt=auto,Kiss of Mauve GEN NUDE BLONZER Blush + Bronzer,dusty mauve,29.0,USD,0.13 oz
https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864?sku=2594830,bareMinerals,GEN NUDE BLONZER Blush + Bronzer,Kiss of Pink,https://media.ultainc.com/i/ulta/2594830_sw?img404=2594830&w=80&fmt=auto,Kiss of Pink GEN NUDE BLONZER Blush + Bronzer,warm pink,29.0,USD,0.13 oz
https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864?sku=2594967,bareMinerals,GEN NUDE BLONZER Blush + Bronzer,Kiss of Rose,https://media.ultainc.com/i/ulta/2594967_sw?img404=2594967&w=80&fmt=auto,Kiss of Rose GEN NUDE BLONZER Blush + Bronzer,bronzed rose,29.0,USD,0.13 oz
https://www.ulta.com/p/gen-nude-blonzer-blush-bronzer-pimprod2031864?sku=2611025,bareMinerals,GEN NUDE BLONZER Blush + Bronzer,Kiss of Spice,https://media.ultainc.com/i/ulta/2611025_sw?img404=2611025&w=80&fmt=auto,Kiss of Spice GEN NUDE BLONZER Blush + Bronzer,warm bronze,29.0,USD,0.13 oz
https://www.ulta.com/p/stax-all-over-color-blush-balm-pimprod2046733?sku=2627371,NUDESTIX,STAX All Over Color Blush Balm,Picante Nude,https://media.ultainc.com/i/ulta/2627371_sw?img404=2627371&w=80&fmt=auto,Picante Nude STAX All Over Color Blush Balm,warm nude peach,25.0,USD,0.088 oz
https://www.ulta.com/p/stax-all-over-color-blush-balm-pimprod2046733?sku=2627372,NUDESTIX,STAX All Over Color Blush Balm,Sunkissed,https://media.ultainc.com/i/ulta/2627372_sw?img404=2627372&w=80&fmt=auto,Sunkissed STAX All Over Color Blush Balm,warm rich terracotta,25.0,USD,0.088 oz
https://www.ulta.com/p/stax-all-over-color-blush-balm-pimprod2046733?sku=2627373,NUDESTIX,STAX All Over Color Blush Balm,Pink Love,https://media.ultainc.com/i/ulta/2627373_sw?img404=2627373&w=80&fmt=auto,Pink Love STAX All Over Color Blush Balm,cool bright rose-pink,25.0,USD,0.088 oz
https://www.ulta.com/p/stax-all-over-color-blush-balm-pimprod2046733?sku=2627374,NUDESTIX,STAX All Over Color Blush Balm,Love & Roses,https://media.ultainc.com/i/ulta/2627374_sw?img404=2627374&w=80&fmt=auto,Love & Roses STAX All Over Color Blush Balm,neutral rose,25.0,USD,0.088 oz
